                             Unnamed: 0  Accepted_Annotations  Annotation_Count  Annotation_Is_Verified  Comment_Count  Featured_Video  Followers  Hot  Is_Description  Is_Verified  Length_Referent_Text  Meme_Verified  Number_Contributors  Number_Verified_Annotations    Pinned  Referent_ID  Total_Votes
Unnamed: 0                     1.000000              0.092567          0.053415                0.098465      -0.032755        0.115190   0.398202  NaN             NaN     0.178238             -0.009282       0.178238             0.292549                     0.132626  0.097901     0.003977     0.084668
Accepted_Annotations           0.092567              1.000000          0.982583                0.119881       0.137439        0.106911   0.342045  NaN             NaN     0.388996             -0.112759       0.388996             0.567938                     0.158046  0.126518    -0.148120     0.136905
Annotation_Count               0.053415              0.982583          1.000000                0.148874       0.136052        0.081259   0.290054  NaN             NaN     0.343812             -0.130705       0.343812             0.528422                     0.231591  0.136658    -0.118848     0.120558
Annotation_Is_Verified         0.098465              0.119881          0.148874                1.000000       0.499403        0.185899   0.199612  NaN             NaN     0.070636              0.008606       0.070636             0.234935                     0.514262  0.908910     0.001710     0.537261
Comment_Count                 -0.032755              0.137439          0.136052                0.499403       1.000000        0.139463   0.196231  NaN             NaN     0.151191              0.024057       0.151191             0.300193                     0.149751  0.542172     0.002139     0.764086
Featured_Video                 0.115190              0.106911          0.081259                0.185899       0.139463        1.000000   0.385958  NaN             NaN     0.242499             -0.035817       0.242499             0.322438                     0.169151  0.177325    -0.021452     0.169548
Followers                      0.398202              0.342045          0.290054                0.199612       0.196231        0.385958   1.000000  NaN             NaN     0.630821              0.034316       0.630821             0.730995                     0.249553  0.186850     0.009980     0.312532
Hot                                 NaN                   NaN               NaN                     NaN            NaN             NaN        NaN  NaN             NaN          NaN                   NaN            NaN                  NaN                          NaN       NaN          NaN          NaN
Is_Description                      NaN                   NaN               NaN                     NaN            NaN             NaN        NaN  NaN             NaN          NaN                   NaN            NaN                  NaN                          NaN       NaN          NaN          NaN
Is_Verified                    0.178238              0.388996          0.343812                0.070636       0.151191        0.242499   0.630821  NaN             NaN     1.000000             -0.035637       1.000000             0.436787                     0.062079  0.082673    -0.098393     0.173957
Length_Referent_Text          -0.009282             -0.112759         -0.130705                0.008606       0.024057       -0.035817   0.034316  NaN             NaN    -0.035637              1.000000      -0.035637             0.019939                    -0.039184 -0.008186     0.096500     0.076214
Meme_Verified                  0.178238              0.388996          0.343812                0.070636       0.151191        0.242499   0.630821  NaN             NaN     1.000000             -0.035637       1.000000             0.436787                     0.062079  0.082673    -0.098393     0.173957
Number_Contributors            0.292549              0.567938          0.528422                0.234935       0.300193        0.322438   0.730995  NaN             NaN     0.436787              0.019939       0.436787             1.000000                     0.290845  0.243561     0.049144     0.426934
Number_Verified_Annotations    0.132626              0.158046          0.231591                0.514262       0.149751        0.169151   0.249553  NaN             NaN     0.062079             -0.039184       0.062079             0.290845                     1.000000  0.307373    -0.001967     0.146163
Pinned                         0.097901              0.126518          0.136658                0.908910       0.542172        0.177325   0.186850  NaN             NaN     0.082673             -0.008186       0.082673             0.243561                     0.307373  1.000000     0.007551     0.595268
Referent_ID                    0.003977             -0.148120         -0.118848                0.001710       0.002139       -0.021452   0.009980  NaN             NaN    -0.098393              0.096500      -0.098393             0.049144                    -0.001967  0.007551     1.000000    -0.011254
Total_Votes                    0.084668              0.136905          0.120558                0.537261       0.764086        0.169548   0.312532  NaN             NaN     0.173957              0.076214       0.173957             0.426934                     0.146163  0.595268    -0.011254     1.000000
