,Accepted_Annotations,Annotation_Count,Annotation_ID,Annotation_Is_Verified,Artist,Classification,Comment_Count,Featured,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributers,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Referent_ID,Release_Date,Song_Title,Total_Votes
0,N/A,4,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,42,False,N/A,N/A,1632326,False,104.0,13043898,N/A,Dusk Till Dawn by ZAYN (Ft. Sia),13
1,N/A,4,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,55,False,N/A,N/A,1632326,False,104.0,12937839,N/A,Dusk Till Dawn by ZAYN (Ft. Sia),9
2,N/A,4,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,83,False,N/A,N/A,1632326,False,104.0,12650844,N/A,Dusk Till Dawn by ZAYN (Ft. Sia),151
3,N/A,22,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,52,False,N/A,N/A,1491564,False,99.0,8931601,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),39
4,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,14,False,N/A,N/A,1491564,False,99.0,8824483,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),22
5,N/A,22,N/A,False,Sia,accepted,5,N/A,N/A,778,5966,False,False,True,175,False,N/A,N/A,1491564,False,99.0,8824474,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),29
6,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,139,False,N/A,N/A,1491564,False,99.0,8824469,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),43
7,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,63,False,N/A,N/A,1491564,False,99.0,8824361,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),64
8,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,139,False,N/A,N/A,1491564,False,99.0,8824322,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),91
9,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,56,False,N/A,N/A,1491564,False,99.0,8672553,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),26
10,N/A,22,N/A,False,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,104,False,N/A,N/A,1491564,False,99.0,8672508,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),30
11,N/A,22,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,43,False,N/A,N/A,1491564,False,99.0,8671517,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),42
12,N/A,22,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,328,False,N/A,N/A,1491564,False,99.0,8664665,N/A,Wolves by Kanye West (Ft. Sia & Vic Mensa),94
13,N/A,9,N/A,False,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,101,False,N/A,N/A,1201522,False,74.0,10349608,N/A,The Greatest by Sia (Ft. Kendrick Lamar),32
14,N/A,9,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,162,False,N/A,N/A,1201522,False,74.0,10347012,N/A,The Greatest by Sia (Ft. Kendrick Lamar),110
