Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Is_Verified,Length_Referent_Text,Pinned,Class
54,58,FALSE,accepted,0,FALSE,693,FALSE,189,FALSE,low
26,35,FALSE,unreviewed,0,FALSE,598,FALSE,43,FALSE,low
18,19,FALSE,accepted,0,FALSE,8610,FALSE,34,FALSE,high
24,27,FALSE,accepted,0,FALSE,693,FALSE,8,FALSE,low
29,32,FALSE,accepted,0,TRUE,17568,TRUE,38,FALSE,high
37,40,FALSE,accepted,0,FALSE,693,FALSE,35,FALSE,low
19,20,FALSE,accepted,0,TRUE,2503,TRUE,103,FALSE,high
36,40,FALSE,accepted,0,TRUE,21495,TRUE,78,FALSE,high
55,62,FALSE,accepted,0,TRUE,8610,FALSE,37,FALSE,high
33,41,FALSE,accepted,0,TRUE,8610,FALSE,53,FALSE,low
20,24,FALSE,accepted,0,TRUE,17568,TRUE,17,FALSE,high
20,29,FALSE,unreviewed,2,FALSE,419,FALSE,111,FALSE,low
25,26,FALSE,accepted,1,FALSE,8610,FALSE,47,FALSE,low
7,8,FALSE,accepted,0,TRUE,693,FALSE,48,FALSE,low
106,107,FALSE,accepted,0,FALSE,17568,TRUE,26,FALSE,high
18,22,FALSE,unreviewed,2,TRUE,17568,TRUE,170,FALSE,high
16,19,FALSE,accepted,0,TRUE,21495,TRUE,6,FALSE,high
98,101,FALSE,accepted,5,FALSE,21495,TRUE,142,FALSE,high
14,27,FALSE,unreviewed,1,FALSE,419,FALSE,48,FALSE,low
39,47,FALSE,accepted,0,FALSE,2660,FALSE,56,FALSE,low
53,55,FALSE,accepted,3,TRUE,17568,TRUE,15,FALSE,high
36,37,FALSE,accepted,0,FALSE,21495,TRUE,25,FALSE,high
3,4,FALSE,accepted,0,FALSE,598,FALSE,47,FALSE,low
59,62,FALSE,accepted,0,TRUE,21495,TRUE,59,FALSE,low
45,46,FALSE,accepted,0,TRUE,10964,FALSE,44,FALSE,high
22,24,FALSE,accepted,2,FALSE,21495,TRUE,53,FALSE,high
5,20,FALSE,unreviewed,1,TRUE,38,FALSE,52,FALSE,low
34,35,FALSE,accepted,0,FALSE,2660,FALSE,19,FALSE,low
13,15,FALSE,accepted,3,TRUE,21495,TRUE,141,FALSE,low
134,137,FALSE,accepted,3,FALSE,21495,TRUE,79,FALSE,high
8,14,FALSE,accepted,0,FALSE,598,FALSE,44,FALSE,low
57,58,FALSE,accepted,0,FALSE,2503,TRUE,154,FALSE,low
66,69,FALSE,accepted,0,FALSE,10964,FALSE,168,FALSE,high
22,24,FALSE,accepted,0,FALSE,693,FALSE,37,FALSE,high
66,67,FALSE,accepted,0,TRUE,21495,TRUE,14,FALSE,high
50,57,FALSE,accepted,0,FALSE,2503,TRUE,25,FALSE,high
22,27,FALSE,accepted,2,TRUE,2660,FALSE,40,FALSE,high
32,35,FALSE,accepted,0,FALSE,2660,FALSE,81,FALSE,low
17,18,FALSE,accepted,0,TRUE,21495,TRUE,70,FALSE,high
21,26,FALSE,unreviewed,0,FALSE,419,FALSE,93,FALSE,low
17,18,FALSE,accepted,0,FALSE,693,FALSE,41,FALSE,low
10,16,FALSE,unreviewed,0,FALSE,598,FALSE,64,FALSE,low
29,30,FALSE,accepted,3,FALSE,21495,TRUE,114,FALSE,low
24,25,FALSE,accepted,2,FALSE,8610,FALSE,81,FALSE,high
66,67,FALSE,accepted,0,FALSE,2503,TRUE,51,FALSE,low
44,46,FALSE,accepted,0,FALSE,2503,TRUE,37,FALSE,low
40,46,FALSE,accepted,0,TRUE,8610,FALSE,25,FALSE,high
30,32,FALSE,accepted,1,TRUE,693,FALSE,75,FALSE,low
40,42,FALSE,accepted,1,TRUE,17568,TRUE,124,FALSE,high
33,36,TRUE,verified,0,TRUE,8610,FALSE,64,TRUE,high
14,23,FALSE,accepted,0,FALSE,419,FALSE,7,FALSE,low
42,43,FALSE,accepted,0,FALSE,10964,FALSE,31,FALSE,high
62,69,FALSE,accepted,0,TRUE,8610,FALSE,46,FALSE,high
47,51,TRUE,verified,18,TRUE,10964,FALSE,71,TRUE,high
39,49,FALSE,unreviewed,0,FALSE,419,FALSE,86,FALSE,low
55,66,FALSE,accepted,0,FALSE,419,FALSE,41,FALSE,low
57,58,FALSE,accepted,0,FALSE,2503,TRUE,100,FALSE,low
6,12,FALSE,unreviewed,1,FALSE,598,FALSE,77,FALSE,low
55,56,FALSE,accepted,0,FALSE,2660,FALSE,109,FALSE,high
38,39,FALSE,accepted,0,FALSE,21495,TRUE,61,FALSE,high
36,40,TRUE,verified,20,TRUE,21495,TRUE,82,TRUE,high
39,40,FALSE,accepted,0,TRUE,693,FALSE,72,FALSE,low
15,18,FALSE,accepted,0,FALSE,693,FALSE,37,FALSE,low
0,7,FALSE,unreviewed,0,FALSE,38,FALSE,22,FALSE,low
27,29,FALSE,accepted,0,FALSE,2660,FALSE,18,FALSE,high
45,46,FALSE,accepted,0,TRUE,10964,FALSE,134,FALSE,high
10,16,FALSE,unreviewed,0,TRUE,2660,FALSE,80,FALSE,low
37,38,FALSE,accepted,0,TRUE,8610,FALSE,47,FALSE,low
53,54,FALSE,accepted,0,FALSE,8610,FALSE,192,FALSE,high
19,21,FALSE,accepted,1,FALSE,2503,TRUE,100,FALSE,low
22,23,FALSE,accepted,0,FALSE,8610,FALSE,144,FALSE,high
29,30,FALSE,accepted,1,FALSE,21495,TRUE,65,FALSE,high
11,12,FALSE,accepted,0,FALSE,8610,FALSE,31,FALSE,high
19,23,FALSE,accepted,0,FALSE,598,FALSE,22,FALSE,low
51,52,FALSE,accepted,2,TRUE,21495,TRUE,169,FALSE,high
30,38,FALSE,accepted,0,FALSE,419,FALSE,34,FALSE,low
18,19,FALSE,accepted,0,TRUE,21495,TRUE,58,FALSE,high
42,43,FALSE,accepted,0,FALSE,10964,FALSE,49,FALSE,low
31,32,FALSE,accepted,0,FALSE,693,FALSE,6,FALSE,high
28,29,FALSE,accepted,1,TRUE,21495,TRUE,22,FALSE,high
25,27,FALSE,accepted,0,TRUE,10964,FALSE,28,FALSE,low
22,24,FALSE,accepted,0,FALSE,21495,TRUE,82,FALSE,high
39,44,FALSE,accepted,1,FALSE,2503,TRUE,28,FALSE,low
18,19,FALSE,accepted,0,FALSE,8610,FALSE,170,FALSE,high
65,67,FALSE,accepted,1,FALSE,8610,FALSE,22,FALSE,high
22,41,FALSE,unreviewed,0,FALSE,419,FALSE,30,FALSE,low
19,22,FALSE,accepted,0,FALSE,2660,FALSE,56,FALSE,low
25,27,FALSE,accepted,1,FALSE,8610,FALSE,121,FALSE,high
27,32,FALSE,unreviewed,0,TRUE,419,FALSE,147,FALSE,low
12,15,FALSE,accepted,3,FALSE,2660,FALSE,80,FALSE,high
28,29,FALSE,accepted,0,FALSE,10964,FALSE,70,FALSE,low
66,69,FALSE,accepted,0,FALSE,10964,FALSE,73,FALSE,high
134,137,TRUE,verified,21,FALSE,21495,TRUE,62,TRUE,high
38,40,FALSE,accepted,0,FALSE,21495,TRUE,80,FALSE,high
26,31,FALSE,accepted,0,TRUE,598,FALSE,110,FALSE,low
38,40,FALSE,accepted,4,FALSE,21495,TRUE,147,FALSE,high
11,14,FALSE,accepted,0,FALSE,419,FALSE,118,FALSE,low
24,33,FALSE,unreviewed,0,FALSE,419,FALSE,143,FALSE,low
11,12,FALSE,accepted,1,FALSE,8610,FALSE,96,FALSE,high
